Yanlış,Doğru
Antartika,Antarktika 
diyince ,deyince
çiğköfte,çiğ köfte
malesef,maalesef
çevrimiçi,çevrim içi
kurufasulye,kuru fasulye
kuruyemiş,kuru yemiş
git gide,gitgide
yanısıra,yanı sıra
peşisıra,peşi sıra
sıra dağ,sıradağ
oto yol,otoyol 
karayolu,kara yolu
yıl başı,yılbaşı
önsöz,ön söz
hoşgeldiniz,hoş geldiniz
hoşçakal,hoşça kal
boşver ,boş ver 
sağol ,sağ ol
boş vermişlik,boşvermişlik
idda,iddia
entellektüel ,entelektüel
egsoz,egzoz
doğalgaz,doğal gaz
döküman,doküman
tabiki,tabii ki
layığıyla,layıkıyla 
itibariyle ,itibarıyla
zıttı ,zıddı
tenefüs,teneffüs
küsürat,küsurat
alt yapı,altyapı
yer küre,yerküre
ardarda,art arda
silahşör,silahşor
mahfolmak,mahvolmak
maktül,maktul
seramoni,seremoni
şanzuman,şanzıman
önyargı ,ön yargı
ilk okul,ilkokul
orta okul,ortaokul
ana okulu,anaokulu
kolanya,kolonya
poaça,poğaça
yanlız,yalnız
yalnış,yanlış
küpür,kupür
antreman,antrenman 
eşortman,eşofman
kirbit,kibrit
Erezyon,Erozyon
saçmasapan,saçma sapan
muhattap,muhatap
konservatuar,konservatuvar
laboratuar,laboratuvar 
ateşe,ataşe
kavonoz,kavanoz
maydonoz,maydanoz
Türkçe'nin,Türkçenin
göktaşı,gök taşı
dinazor,dinozor 
karnıbahar,karnabahar
şöför,şoför
mahsül,mahsul
harfiyat ,hafriyat
dilbilgisi,dil bilgisi
süpriz,sürpriz
şarz,şarj
zerafet,zarafet
traş,tıraş
orjinal,orijinal
espiri,espri
herkez,herkes
bir çok,birçok
bir kaç,birkaç
stajer,stajyer
elele,el ele
soy adı,soyadı
soyismi,soy ismi
hava alanı,havaalanı
alış veriş,alışveriş
anavatan,ana vatan 
anektot,anekdot